Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
522.00,0.019615
521.00,0.019943
520.00,0.020481
519.00,0.021391
518.00,0.021364
517.00,0.021375
516.00,0.022514
515.00,0.022945
514.00,0.022989
513.00,0.022899
512.00,0.023549
511.00,0.023925
510.00,0.024628
509.00,0.024575
508.00,0.024946
507.00,0.025889
506.00,0.025924
505.00,0.025899
504.00,0.026941
503.00,0.027383
502.00,0.027436
501.00,0.028246
500.00,0.028487
499.00,0.028798
498.00,0.029512
497.00,0.029975
496.00,0.030272
495.00,0.030221
494.00,0.030862
493.00,0.031465
492.00,0.031973
491.00,0.032319
490.00,0.033127
489.00,0.033247
488.00,0.033699
487.00,0.033900
486.00,0.034458
485.00,0.034671
484.00,0.035380
483.00,0.035456
482.00,0.035987
481.00,0.036663
480.00,0.036512
479.00,0.037250
478.00,0.037868
477.00,0.038105
476.00,0.038418
475.00,0.038993
474.00,0.039735
473.00,0.039686
472.00,0.039928
471.00,0.040489
470.00,0.041146
469.00,0.041026
468.00,0.041831
467.00,0.041730
466.00,0.042219
465.00,0.042518
464.00,0.042329
463.00,0.042877
462.00,0.043318
461.00,0.043795
460.00,0.043841
459.00,0.043994
458.00,0.044330
457.00,0.044579
456.00,0.044931
455.00,0.045212
454.00,0.045145
453.00,0.045455
452.00,0.045881
451.00,0.045928
450.00,0.046080
449.00,0.046547
448.00,0.046494
447.00,0.046902
446.00,0.046519
445.00,0.047227
444.00,0.047043
443.00,0.047426
442.00,0.047939
441.00,0.047572
440.00,0.047458
439.00,0.047897
438.00,0.048203
437.00,0.048211
436.00,0.047736
435.00,0.048067
434.00,0.048045
433.00,0.048571
432.00,0.048352
431.00,0.048746
430.00,0.048493
429.00,0.048345
428.00,0.048281
427.00,0.048630
426.00,0.048307
425.00,0.048428
424.00,0.048592
423.00,0.048868
422.00,0.048451
421.00,0.048162
420.00,0.048620
419.00,0.048183
418.00,0.048625
417.00,0.048439
416.00,0.048079
415.00,0.048422
414.00,0.047802
413.00,0.048393
412.00,0.047791
411.00,0.047698
410.00,0.048160
409.00,0.047587
408.00,0.047492
407.00,0.047119
406.00,0.047464
405.00,0.046806
404.00,0.047383
403.00,0.046790
402.00,0.047509
401.00,0.046756
400.00,0.047082
399.00,0.046231
398.00,0.045797
397.00,0.046517
396.00,0.045774
395.00,0.045345
394.00,0.044982
393.00,0.044148
392.00,0.044198
391.00,0.044145
390.00,0.044197
389.00,0.044158
388.00,0.043369
387.00,0.042998
386.00,0.042822
385.00,0.042269
384.00,0.042845
383.00,0.041945
382.00,0.041677
381.00,0.041499
380.00,0.040581
379.00,0.040521
378.00,0.040122
377.00,0.040067
376.00,0.039451
375.00,0.039674
374.00,0.037724
373.00,0.038561
372.00,0.038232
371.00,0.037135
370.00,0.037365
369.00,0.037278
368.00,0.036517
367.00,0.036016
366.00,0.036953
365.00,0.036184
364.00,0.035217
363.00,0.036409
362.00,0.034492
361.00,0.034380
360.00,0.034475
359.00,0.035025
358.00,0.034652
357.00,0.033440
356.00,0.033955
355.00,0.033857
354.00,0.032994
353.00,0.033111
352.00,0.032430
351.00,0.033025
350.00,0.032358
349.00,0.032716
348.00,0.033082
347.00,0.032407
346.00,0.032039
345.00,0.032008
344.00,0.032727
343.00,0.032938
342.00,0.033362
341.00,0.032891
340.00,0.033191
339.00,0.033267
338.00,0.035247
337.00,0.035698
336.00,0.035116
335.00,0.036398
334.00,0.036347
333.00,0.037115
332.00,0.037607
331.00,0.038530
330.00,0.040953
329.00,0.041741
328.00,0.043055
327.00,0.043741
326.00,0.044967
325.00,0.045620
324.00,0.047313
323.00,0.049788
322.00,0.051726
321.00,0.054634
320.00,0.055902
319.00,0.058048
318.00,0.060244
317.00,0.065507
316.00,0.067317
315.00,0.072680
314.00,0.075031
313.00,0.081360
312.00,0.087001
311.00,0.093349
310.00,0.099905
309.00,0.107336
308.00,0.114898
307.00,0.123867
306.00,0.133177
305.00,0.141880
304.00,0.151473
303.00,0.162749
302.00,0.171782
301.00,0.179920
300.00,0.189295
299.00,0.200572
298.00,0.209881
297.00,0.221472
296.00,0.231044
295.00,0.241732
294.00,0.252737
293.00,0.262946
292.00,0.273670
291.00,0.287766
290.00,0.300141
289.00,0.313008
288.00,0.327052
287.00,0.341354
286.00,0.354509
285.00,0.370552
284.00,0.385289
283.00,0.403315
282.00,0.420574
281.00,0.437291
280.00,0.458138
279.00,0.479703
278.00,0.498680
277.00,0.522793
276.00,0.547649
275.00,0.568937
274.00,0.596498
273.00,0.623938
272.00,0.650639
271.00,0.678319
270.00,0.713029
269.00,0.743591
268.00,0.779159
267.00,0.812043
266.00,0.845802
265.00,0.889173
264.00,0.930632
263.00,0.966612
262.00,1.013233
261.00,1.061794
260.00,1.110496
259.00,1.161107
258.00,1.214867
257.00,1.267730
256.00,1.331724
255.00,1.392112
254.00,1.456915
253.00,1.531364
252.00,1.600844
251.00,1.664615
250.00,1.741070
249.00,1.814207
248.00,1.888284
247.00,1.965883
246.00,2.021422
245.00,2.091782
244.00,2.157608
243.00,2.233839
242.00,2.303604
241.00,2.378118
240.00,2.440165
239.00,2.493426
238.00,2.560491
237.00,2.620169
236.00,2.699546
235.00,2.772046
234.00,2.837678
233.00,2.906085
232.00,2.972621
231.00,3.056780
230.00,3.124030
229.00,3.198954
228.00,3.262713
227.00,3.283442
226.00,3.376182
225.00,3.382437
224.00,3.401366
223.00,3.395185
222.00,3.628198
221.00,3.511213
220.00,3.386061
219.00,3.557258
218.00,3.316228
217.00,4.531262
216.00,3.494698
215.00,3.705031
214.00,3.724287
213.00,3.639123
212.00,3.399986
211.00,4.220611
210.00,3.475503
209.00,3.589204
208.00,3.669904
207.00,3.659380
206.00,4.721456
205.00,3.409207
204.00,4.688314
203.00,3.847712
202.00,3.753086
201.00,3.316478
200.00,3.233696
199.00,3.388711
198.00,NaN
197.00,3.417478
196.00,4.016628
195.00,3.448346
194.00,3.269021
193.00,3.162229
192.00,4.354786
191.00,5.241123
190.00,3.140525


Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 3
5/23/2022 4:19:04 PM
Wavelength (nm),Absorbance
700.00,0.005890
699.00,0.005788
698.00,0.005464
697.00,0.006041
696.00,0.005394
695.00,0.005915
694.00,0.005609
693.00,0.005184
692.00,0.005256
691.00,0.006076
690.00,0.006397
689.00,0.006555
688.00,0.005274
687.00,0.005487
686.00,0.006098
685.00,0.006092
684.00,0.006043
683.00,0.007016
682.00,0.006625
681.00,0.005907
680.00,0.006332
679.00,0.005638
678.00,0.005358
677.00,0.006076
676.00,0.006019
675.00,0.006244
