Sample1, Cycle 1
5/15/2022 9:44:14 AM
Wavelength (nm),Absorbance
608.00,-0.000988
607.00,-0.001333
606.00,-0.001480
605.00,-0.002211
604.00,-0.001728
603.00,-0.001372
602.00,-0.001623
601.00,-0.001027
600.00,-0.002001
599.00,-0.000373
598.00,-0.001846
597.00,-0.001565
596.00,-0.001701
595.00,-0.001894
594.00,-0.001656
593.00,-0.001256
592.00,-0.000300
591.00,-0.000800
590.00,-0.001373
589.00,-0.001289
588.00,-0.000981
587.00,-0.001590
586.00,-0.000548
585.00,-0.001005
584.00,-0.000647
583.00,-0.001272
582.00,-0.000705
581.00,-0.000234
580.00,-0.000616
579.00,-0.000073
578.00,-0.000759
577.00,-0.001057
576.00,-0.000561
575.00,-0.000805
574.00,-0.000358
573.00,-0.000270
572.00,-0.000648
571.00,-0.001134
570.00,0.000090
569.00,-0.000392
568.00,0.000363
567.00,0.000027
566.00,-0.000748
565.00,-0.000563
564.00,0.000305
563.00,0.000564
562.00,0.000537
561.00,0.000720
560.00,0.000161
559.00,-0.000447
558.00,0.001498
557.00,0.001489
556.00,0.001365
555.00,0.001943
554.00,0.002203
553.00,0.001749
552.00,0.001199
551.00,0.001722
550.00,0.002277
549.00,0.002779
548.00,0.002257
547.00,0.002834
546.00,0.002916
545.00,0.002779
544.00,0.003233
543.00,0.003222
542.00,0.003478
541.00,0.003411
540.00,0.004099
539.00,0.004202
538.00,0.004258
537.00,0.004382
536.00,0.004711
535.00,0.004827
534.00,0.004959
533.00,0.005204
532.00,0.005149
531.00,0.005751
530.00,0.006288
529.00,0.006147
528.00,0.006436
527.00,0.006991
526.00,0.007175
525.00,0.007461
524.00,0.007772
523.00,0.007992
522.00,0.007953
521.00,0.007994
520.00,0.009098
519.00,0.008972
518.00,0.009336
517.00,0.009803
516.00,0.010546
515.00,0.010353
514.00,0.010089
513.00,0.011074
512.00,0.010989
511.00,0.011897
510.00,0.012456
509.00,0.011784
508.00,0.012560
507.00,0.012633
506.00,0.013090
505.00,0.014305
504.00,0.014197
503.00,0.014645
502.00,0.014428
501.00,0.015049
500.00,0.015330
499.00,0.015528
498.00,0.015954
497.00,0.016417
496.00,0.017353
495.00,0.017017
494.00,0.017461
493.00,0.017993
492.00,0.018440
491.00,0.018948
490.00,0.019312
489.00,0.019200
488.00,0.019547
487.00,0.019807
486.00,0.020383
485.00,0.020666
484.00,0.021252
483.00,0.021413
482.00,0.021901
481.00,0.022596
480.00,0.022658
479.00,0.022643
478.00,0.023282
477.00,0.023659
476.00,0.023994
475.00,0.024286
474.00,0.024552
473.00,0.024922
472.00,0.025259
471.00,0.025530
470.00,0.026108
469.00,0.026059
468.00,0.026428
467.00,0.026534
466.00,0.027093
465.00,0.026958
464.00,0.027564
463.00,0.027760
462.00,0.028340
461.00,0.028526
460.00,0.028597
459.00,0.028663
458.00,0.028888
457.00,0.028771
456.00,0.029166
455.00,0.029702
454.00,0.029866
453.00,0.030207
452.00,0.029850
451.00,0.030235
450.00,0.030379
449.00,0.030360
448.00,0.030818
447.00,0.030837
446.00,0.030826
445.00,0.031087
444.00,0.031476
443.00,0.031483
442.00,0.031879
441.00,0.031403
440.00,0.031704
439.00,0.031949
438.00,0.031732
437.00,0.031768
436.00,0.031769
435.00,0.032204
434.00,0.032400
433.00,0.032552
432.00,0.032718
431.00,0.032788
430.00,0.033068
429.00,0.033025
428.00,0.032527
427.00,0.033043
426.00,0.032961
425.00,0.032994
424.00,0.032952
423.00,0.032960
422.00,0.033098
421.00,0.033006
420.00,0.033038
419.00,0.033109
418.00,0.033207
417.00,0.032887
416.00,0.033140
415.00,0.032938
414.00,0.032656
413.00,0.032863
412.00,0.032737
411.00,0.031871
410.00,0.031978
409.00,0.032651
408.00,0.032473
407.00,0.032231
406.00,0.031200
405.00,0.032002
404.00,0.031816
403.00,0.031335
402.00,0.031633
401.00,0.031547
400.00,0.030801
399.00,0.031158
398.00,0.030578
397.00,0.029950
396.00,0.030209
395.00,0.030685
394.00,0.029443
393.00,0.029505
392.00,0.029309
391.00,0.028987
390.00,0.029506
389.00,0.028436
388.00,0.027829
387.00,0.027327
386.00,0.028152
385.00,0.027488
384.00,0.027321
383.00,0.027314
382.00,0.026303
381.00,0.026524
380.00,0.026862
379.00,0.026330
378.00,0.025540
377.00,0.025843
376.00,0.026523
375.00,0.024974
374.00,0.025290
373.00,0.025726
372.00,0.024839
371.00,0.025788
370.00,0.025368
369.00,0.025080
368.00,0.025487
367.00,0.025189
366.00,0.025230
365.00,0.025013
364.00,0.025042
363.00,0.024904
362.00,0.024160
361.00,0.024583
360.00,0.023861
359.00,0.023394
358.00,0.023397
357.00,0.023031
356.00,0.023303
355.00,0.022650
354.00,0.023343
353.00,0.023236
352.00,0.024216
351.00,0.023024
350.00,0.022164
349.00,0.023356
348.00,0.022472
347.00,0.022841
346.00,0.023224
345.00,0.023045
344.00,0.022083
343.00,0.023139
342.00,0.023500
341.00,0.023511
340.00,0.022981
339.00,0.023946
338.00,0.025137
337.00,0.025458
336.00,0.026788
335.00,0.026399
334.00,0.027354
333.00,0.028018
332.00,0.030009
331.00,0.030533
330.00,0.030924
329.00,0.032364
328.00,0.034233
327.00,0.034844
326.00,0.037187
325.00,0.039310
324.00,0.039899
323.00,0.041668
322.00,0.044102
321.00,0.046804
320.00,0.049201
319.00,0.051377
318.00,0.053530
317.00,0.057226
316.00,0.060283
315.00,0.065333
314.00,0.068478
313.00,0.073544
312.00,0.079547
311.00,0.085812
310.00,0.092217
309.00,0.098500
308.00,0.105910
307.00,0.113665
306.00,0.123011
305.00,0.131321
304.00,0.140058
303.00,0.149967
302.00,0.159917
301.00,0.167755
300.00,0.178426
299.00,0.187215
298.00,0.197152
297.00,0.207718
296.00,0.216773
295.00,0.227628
294.00,0.238293
293.00,0.248640
292.00,0.260260
291.00,0.273127
290.00,0.283848
289.00,0.298350
288.00,0.311344
287.00,0.325102
286.00,0.339403
285.00,0.351877
284.00,0.368553
283.00,0.386480
282.00,0.402625
281.00,0.418197
280.00,0.437041
279.00,0.457722
278.00,0.478545
277.00,0.499485
276.00,0.523544
275.00,0.545329
274.00,0.571285
273.00,0.597407
272.00,0.623168
271.00,0.649095
270.00,0.682463
269.00,0.710790
268.00,0.743752
267.00,0.777529
266.00,0.809825
265.00,0.848785
264.00,0.889660
263.00,0.924072
262.00,0.966602
261.00,1.011886
260.00,1.056852
259.00,1.102901
258.00,1.150781
257.00,1.201618
256.00,1.257967
255.00,1.313120
254.00,1.372040
253.00,1.438018
252.00,1.498791
251.00,1.556552
250.00,1.624495
249.00,1.688637
248.00,1.756352
247.00,1.826433
246.00,1.878675
245.00,1.941258
244.00,2.011470
243.00,2.070389
242.00,2.135049
241.00,2.194618
240.00,2.250962
239.00,2.310243
238.00,2.372278
